team,win_prob,final_prob,semi_final_prob,quarter_final_prob,upset_score,win_pct,final_pct,semi_final_pct,quarter_final_pct
Argentina,0.3365,0.4321,0.4856,0.5311,1.5736296296296295,33.65,43.21,48.56,53.11
Spain,0.2908,0.4279,0.4823,0.5476,1.876627827278958,29.08,42.79,48.23,54.76
France,0.144,0.2501,0.5871,0.7363,5.077931034482758,14.4,25.01,58.71,73.63
England,0.0802,0.1696,0.4203,0.6569,8.089901477832514,8.02,16.96,42.03,65.69
Croatia,0.0276,0.0963,0.1837,0.3415,11.940559440559442,2.76,9.63,18.37,34.15
Norway,0.0201,0.0812,0.1991,0.3602,17.071090047393366,2.01,8.12,19.91,36.02
Turkey,0.0195,0.1059,0.1669,0.4438,21.648780487804874,1.95,10.59,16.69,44.38
Switzerland,0.018,0.0751,0.218,0.4563,24.01578947368421,1.8,7.51,21.8,45.63
Portugal,0.0129,0.0587,0.1854,0.4501,32.381294964028775,1.29,5.87,18.54,45.01
Paraguay,0.0097,0.0651,0.1293,0.4279,39.99065420560747,0.97,6.51,12.93,42.79
Colombia,0.006,0.0279,0.0653,0.2253,32.18571428571428,0.6,2.79,6.53,22.53
Mexico,0.0055,0.0219,0.0898,0.2163,33.276923076923076,0.55,2.19,8.98,21.63
Uruguay,0.0048,0.0177,0.0519,0.1182,20.379310344827587,0.48,1.77,5.19,11.82
Ecuador,0.0041,0.0268,0.0885,0.2611,51.19607843137255,0.41,2.68,8.85,26.11
Austria,0.0035,0.0115,0.0202,0.0641,14.244444444444444,0.35,1.15,2.02,6.41
Germany,0.003,0.0267,0.1129,0.3092,77.3,0.3,2.67,11.29,30.92
Saudi Arabia,0.0029,0.0072,0.0256,0.0594,15.230769230769232,0.29,0.72,2.56,5.94
Netherlands,0.0025,0.0229,0.0951,0.215,61.42857142857142,0.25,2.29,9.51,21.5
Canada,0.0024,0.0139,0.0673,0.2747,80.79411764705883,0.24,1.39,6.73,27.47
Japan,0.0022,0.0167,0.0834,0.1572,49.125,0.22,1.67,8.34,15.72
Belgium,0.0011,0.0088,0.0199,0.1146,54.57142857142856,0.11,0.88,1.99,11.46
Algeria,0.0006,0.0017,0.0041,0.0151,9.437500000000002,0.06,0.17,0.41,1.51
Morocco,0.0005,0.0015,0.0175,0.0941,62.733333333333334,0.05,0.15,1.75,9.41
Australia,0.0003,0.0073,0.0275,0.1875,144.23076923076923,0.03,0.73,2.75,18.75
Brazil,0.0003,0.006,0.0277,0.1057,81.3076923076923,0.03,0.6,2.77,10.57
Ivory Coast,0.0003,0.0034,0.0183,0.0869,66.84615384615385,0.03,0.34,1.83,8.69
South Korea,0.0002,0.0029,0.0137,0.0749,62.41666666666666,0.02,0.29,1.37,7.49
United States,0.0002,0.0019,0.0058,0.0571,47.58333333333333,0.02,0.19,0.58,5.71
Senegal,0.0002,0.0069,0.0816,0.1745,145.41666666666666,0.02,0.69,8.16,17.45
Iran,0.0001,0.0026,0.0104,0.0662,60.18181818181817,0.01,0.26,1.04,6.62
Haiti,0.0,0.0,0.0,0.0003,0.3,0.0,0.0,0.0,0.03
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0002,0.0007,0.0179,17.9,0.0,0.02,0.07,1.79
Panama,0.0,0.0002,0.0018,0.0099,9.9,0.0,0.02,0.18,0.99
Ghana,0.0,0.0001,0.0004,0.0166,16.6,0.0,0.01,0.04,1.66
Curaçao,0.0,0.0,0.0,0.0001,0.1,0.0,0.0,0.0,0.01
Czechia,0.0,0.0,0.0011,0.0155,15.5,0.0,0.0,0.11,1.55
DR Congo,0.0,0.0,0.0,0.0006,0.6,0.0,0.0,0.0,0.06
Sweden,0.0,0.0,0.0003,0.0043,4.3,0.0,0.0,0.03,0.43
Jordan,0.0,0.0001,0.0002,0.002,2.0,0.0,0.01,0.02,0.2
Tunisia,0.0,0.0,0.0001,0.0035,3.5,0.0,0.0,0.01,0.35
South Africa,0.0,0.0003,0.0003,0.0044,4.4,0.0,0.03,0.03,0.44
Bosnia and Herzegovina,0.0,0.0,0.0003,0.006,6.0,0.0,0.0,0.03,0.6
Cape Verde,0.0,0.0,0.0,0.0002,0.2,0.0,0.0,0.0,0.02
Iraq,0.0,0.0001,0.0017,0.0096,9.6,0.0,0.01,0.17,0.96
Egypt,0.0,0.0004,0.0012,0.0134,13.4,0.0,0.04,0.12,1.34
Qatar,0.0,0.0,0.0,0.0006,0.6,0.0,0.0,0.0,0.06
Scotland,0.0,0.0004,0.0077,0.0663,66.3,0.0,0.04,0.77,6.63
