match_id,match_number,stage_id,kickoff_at,match_label,home_team,home_code,group,away_team,away_code,city_name,host_country,region_cluster,home_rank,home_rating,home_rank_max,home_rating_max,home_rank_avg,home_rating_avg,home_rank_min,home_rating_min,home_matches_total,home_wins,home_losses,home_draws,home_goals_for,home_goals_against,home_confederation,home_is_host,away_rank,away_rating,away_rank_max,away_rating_max,away_rank_avg,away_rating_avg,away_rank_min,away_rating_min,away_matches_total,away_wins,away_losses,away_draws,away_goals_for,away_goals_against,away_confederation,away_is_host,elo_diff,rank_diff,home_win_rate,away_win_rate,home_goals_per_match,away_goals_per_match
1,1,1,2026-06-11 15:00:00-06,Group A,Mexico,MEX,A,South Africa,RSA,Mexico City,Mexico,Central,20.0,1860.0,4.0,1985.0,20.0,1782.0,48.0,1498.0,1028.0,533.0,258.0,237.0,1823.0,1055.0,CONCACAF,1.0,79.0,1524.0,7.0,1847.0,32.0,1707.0,99.0,1448.0,524.0,231.0,141.0,152.0,719.0,542.0,CAF,0.0,336.0,-59.0,0.5184824902723736,0.44083969465648853,1.7733463035019454,1.3721374045801527
2,2,1,2026-06-11 22:00:00-06,Group A,South Korea,KOR,A,Czechia,CZE,Guadalajara,Mexico,Central,33.0,1752.0,16.0,1845.0,35.0,1687.0,84.0,1445.0,1050.0,571.0,221.0,258.0,1907.0,964.0,AFC,0.0,40.0,1726.0,1.0,2032.0,13.0,1855.0,46.0,1669.0,882.0,424.0,261.0,197.0,1624.0,1097.0,UEFA,0.0,26.0,-7.0,0.5438095238095239,0.48072562358276644,1.8161904761904761,1.8412698412698412
3,3,1,2026-06-12 15:00:00-04,Group B,Canada,CAN,B,Bosnia and Herzegovina,BIH,Toronto,Canada,East,25.0,1784.0,21.0,1841.0,49.0,1599.0,90.0,1470.0,488.0,189.0,185.0,114.0,626.0,623.0,CONCACAF,1.0,66.0,1594.0,20.0,1806.0,53.0,1626.0,90.0,1469.0,279.0,104.0,111.0,64.0,393.0,385.0,UEFA,0.0,190.0,-41.0,0.38729508196721313,0.3727598566308244,1.2827868852459017,1.4086021505376345
4,4,1,2026-06-12 21:00:00-07,Group D,United States,USA,D,Paraguay,PAR,Los Angeles,USA,West,41.0,1721.0,9.0,1890.0,41.0,1642.0,93.0,1410.0,825.0,366.0,286.0,173.0,1246.0,1073.0,CONCACAF,1.0,22.0,1833.0,5.0,1956.0,23.0,1755.0,51.0,1619.0,788.0,276.0,303.0,209.0,1002.0,1115.0,CONMEBOL,0.0,-112.0,19.0,0.44363636363636366,0.350253807106599,1.5103030303030303,1.2715736040609138
5,5,1,2026-06-13 15:00:00-07,Group B,Qatar,QAT,B,Switzerland,SUI,San Francisco Bay Area,USA,West,95.0,1425.0,26.0,1771.0,93.0,1416.0,164.0,965.0,697.0,289.0,232.0,176.0,993.0,825.0,AFC,0.0,16.0,1889.0,9.0,1933.0,27.0,1690.0,56.0,1485.0,895.0,319.0,373.0,203.0,1335.0,1482.0,UEFA,0.0,-464.0,79.0,0.4146341463414634,0.3564245810055866,1.42467718794835,1.4916201117318435
6,6,1,2026-06-13 18:00:00-04,Group C,Brazil,BRA,C,Morocco,MAR,New York/New Jersey,USA,East,5.0,1984.0,1.0,2195.0,4.0,1998.0,20.0,1805.0,1065.0,670.0,172.0,223.0,2294.0,954.0,CONMEBOL,0.0,24.0,1822.0,11.0,1923.0,43.0,1657.0,86.0,1510.0,728.0,364.0,165.0,199.0,1103.0,614.0,CAF,0.0,162.0,-19.0,0.6291079812206573,0.5,2.1539906103286386,1.51510989010989
7,7,1,2026-06-13 21:00:00-04,Group C,Haiti,HAI,C,Scotland,SCO,Boston,USA,East,77.0,1532.0,37.0,1673.0,81.0,1417.0,129.0,1265.0,561.0,246.0,197.0,118.0,957.0,759.0,CONCACAF,0.0,29.0,1767.0,1.0,2104.0,14.0,1879.0,63.0,1598.0,867.0,411.0,268.0,188.0,1495.0,1075.0,UEFA,0.0,-235.0,48.0,0.4385026737967914,0.4740484429065744,1.7058823529411764,1.7243367935409457
8,8,1,2026-06-14 00:00:00-07,Group D,Australia,AUS,D,Turkey,TUR,Vancouver,Canada,West,26.0,1783.0,11.0,1876.0,35.0,1672.0,77.0,1475.0,635.0,326.0,179.0,130.0,1289.0,714.0,AFC,0.0,14.0,1902.0,9.0,1902.0,42.0,1611.0,77.0,1358.0,669.0,263.0,250.0,156.0,947.0,969.0,UEFA,0.0,-119.0,12.0,0.5133858267716536,0.3931240657698057,2.02992125984252,1.4155455904334828
9,9,1,2026-06-14 13:00:00-05,Group E,Germany,GER,E,Curaçao,CUR,Houston,USA,Central,11.0,1923.0,1.0,2223.0,8.0,1911.0,25.0,1637.0,1045.0,604.0,224.0,217.0,2352.0,1232.0,UEFA,0.0,90.0,1436.0,26.0,1618.0,97.0,1381.0,188.0,1011.0,498.0,201.0,173.0,124.0,879.0,767.0,CONCACAF,0.0,487.0,-79.0,0.5779904306220096,0.4036144578313253,2.2507177033492822,1.7650602409638554
10,10,1,2026-06-14 16:00:00-05,Group F,Netherlands,NED,F,Japan,JPN,Dallas,USA,Central,8.0,1961.0,1.0,2153.0,15.0,1848.0,55.0,1553.0,901.0,465.0,239.0,197.0,1892.0,1142.0,UEFA,0.0,13.0,1904.0,9.0,1913.0,62.0,1467.0,114.0,1126.0,835.0,408.0,257.0,170.0,1517.0,985.0,AFC,0.0,57.0,-5.0,0.516093229744728,0.48862275449101794,2.099889012208657,1.8167664670658683
