match_id,date,stage,group,home_team,away_team,home_score,away_score,home_score_pens,away_score_pens,went_to_pens,actual_winner,predicted_winner,correct
2,11/06/2026,group_stage,A,Mexico,South Africa,2,0,,,,Mexico,,
5,11/06/2026,group_stage,A,South Korea,Czechia,2,1,,,,South Korea,,
3,18/06/2026,group_stage,A,Czechia,South Africa,1,1,,,,,,
4,18/06/2026,group_stage,A,Mexico,South Korea,1,0,,,,Mexico,,
1,24/06/2026,group_stage,A,Czechia,Mexico,0,3,,,,Mexico,,
6,24/06/2026,group_stage,A,South Africa,South Korea,1,0,,,,South Africa,,
7,12/06/2026,group_stage,B,Canada,Bosnia and Herzegovina,1,1,,,,,,
8,13/06/2026,group_stage,B,Qatar,Switzerland,1,1,,,,,,
9,18/06/2026,group_stage,B,Switzerland,Bosnia and Herzegovina,4,1,,,,Switzerland,,
10,18/06/2026,group_stage,B,Canada,Qatar,6,0,,,,Canada,,
11,24/06/2026,group_stage,B,Switzerland,Canada,2,1,,,,Switzerland,,
12,24/06/2026,group_stage,B,Bosnia and Herzegovina,Qatar,3,1,,,,Bosnia and Herzegovina,,
13,13/06/2026,group_stage,C,Brazil,Morocco,1,1,,,,,,
14,13/06/2026,group_stage,C,Haiti,Scotland,0,1,,,,Scotland,,
15,19/06/2026,group_stage,C,Scotland,Morocco,0,1,,,,Morocco,,
16,19/06/2026,group_stage,C,Brazil,Haiti,3,0,,,,Brazil,,
17,24/06/2026,group_stage,C,Scotland,Brazil,0,3,,,,Brazil,,
18,24/06/2026,group_stage,C,Morocco,Haiti,4,2,,,,Morocco,,
19,12/06/2026,group_stage,D,United States,Paraguay,4,1,,,,United States,,
20,13/06/2026,group_stage,D,Australia,Turkey,2,0,,,,Australia,,
21,19/06/2026,group_stage,D,United States,Australia,2,0,,,,United States,,
22,19/06/2026,group_stage,D,Turkey,Paraguay,0,1,,,,Paraguay,,
23,25/06/2026,group_stage,D,Turkey,United States,3,2,,,,Turkey,,
24,25/06/2026,group_stage,D,Paraguay,Australia,0,0,,,,,,
25,14/06/2026,group_stage,E,Germany,Curaçao,7,1,,,,Germany,,
26,14/06/2026,group_stage,E,Ivory Coast,Ecuador,1,0,,,,Ivory Coast,,
27,20/06/2026,group_stage,E,Germany,Ivory Coast,2,1,,,,Germany,,
28,20/06/2026,group_stage,E,Ecuador,Curaçao,0,0,,,,,,
29,25/06/2026,group_stage,E,Ecuador,Germany,2,1,,,,Ecuador,,
30,25/06/2026,group_stage,E,Curaçao,Ivory Coast,0,2,,,,Ivory Coast,,
31,14/06/2026,group_stage,F,Netherlands,Japan,2,2,,,,,,
32,14/06/2026,group_stage,F,Sweden,Tunisia,5,1,,,,Sweden,,
33,20/06/2026,group_stage,F,Netherlands,Sweden,5,1,,,,Netherlands,,
34,20/06/2026,group_stage,F,Tunisia,Japan,0,4,,,,Japan,,
35,25/06/2026,group_stage,F,Japan,Sweden,0,0,,,,,,
36,25/06/2026,group_stage,F,Tunisia,Netherlands,1,3,,,,Netherlands,,
37,15/06/2026,group_stage,G,Belgium,Egypt,1,1,,,,,,
38,15/06/2026,group_stage,G,Iran,New Zealand,2,2,,,,,,
39,21/06/2026,group_stage,G,Belgium,Iran,0,0,,,,,,
40,21/06/2026,group_stage,G,New Zealand,Egypt,1,3,,,,Egypt,,
41,26/06/2026,group_stage,G,Egypt,Iran,1,1,,,,,,
42,26/06/2026,group_stage,G,New Zealand,Belgium,1,5,,,,Belgium,,
43,15/06/2026,group_stage,H,Spain,Cape Verde,0,0,,,,,,
44,15/06/2026,group_stage,H,Saudi Arabia,Uruguay,1,1,,,,,,
45,21/06/2026,group_stage,H,Spain,Saudi Arabia,4,0,,,,Spain,,
46,21/06/2026,group_stage,H,Uruguay,Cape Verde,2,2,,,,,,
47,26/06/2026,group_stage,H,Cape Verde,Saudi Arabia,0,0,,,,,,
48,26/06/2026,group_stage,H,Uruguay,Spain,0,1,,,,Spain,,
49,16/06/2026,group_stage,I,France,Senegal,3,1,,,,France,,
50,16/06/2026,group_stage,I,Iraq,Norway,1,4,,,,Norway,,
51,22/06/2026,group_stage,I,France,Iraq,3,0,,,,France,,
52,22/06/2026,group_stage,I,Norway,Senegal,3,2,,,,Norway,,
53,26/06/2026,group_stage,I,Norway,France,1,4,,,,France,,
54,26/06/2026,group_stage,I,Senegal,Iraq,5,0,,,,Senegal,,
55,16/06/2026,group_stage,J,Argentina,Algeria,3,0,,,,Argentina,,
56,16/06/2026,group_stage,J,Austria,Jordan,3,1,,,,Austria,,
57,22/06/2026,group_stage,J,Argentina,Austria,2,0,,,,Austria,,
58,22/06/2026,group_stage,J,Jordan,Algeria,1,2,,,,Algeria,,
59,27/06/2026,group_stage,J,Algeria,Austria,,,,,,,,
60,27/06/2026,group_stage,J,Jordan,Argentina,,,,,,,,
61,17/06/2026,group_stage,K,Portugal,DR Congo,1,1,,,,,,
62,17/06/2026,group_stage,K,Uzbekistan,Colombia,1,3,,,,Colombia,,
63,23/06/2026,group_stage,K,Portugal,Uzbekistan,5,0,,,,Portugal,,
64,23/06/2026,group_stage,K,Colombia,DR Congo,1,0,,,,Colombia,,
65,27/06/2026,group_stage,K,Colombia,Portugal,,,,,,,,
66,27/06/2026,group_stage,K,DR Congo,Uzbekistan,,,,,,,,
67,17/06/2026,group_stage,L,England,Croatia,4,2,,,,England,,
68,17/06/2026,group_stage,L,Ghana,Panama,1,0,,,,Ghana,,
69,23/06/2026,group_stage,L,England,Ghana,0,0,,,,,,
70,23/06/2026,group_stage,L,Panama,Croatia,0,1,,,,Croatia,,
71,27/06/2026,group_stage,L,Panama,England,,,,,,,,
72,27/06/2026,group_stage,L,Croatia,Ghana,,,,,,,,
79,28/06/2026,round_of_32,,Mexico,Ivory Coast,,,,,,,Mexico,
73,29/06/2026,round_of_32,,South Korea,Canada,,,,,,,Canada,
75,29/06/2026,round_of_32,,Ecuador,Bosnia and Herzegovina,,,,,,,Ecuador,
76,29/06/2026,round_of_32,,Japan,Brazil,,,,,,,Japan,
74,30/06/2026,round_of_32,,Morocco,Netherlands,,,,,,,Netherlands,
77,30/06/2026,round_of_32,,Germany,Norway,,,,,,,Norway,
78,30/06/2026,round_of_32,,France,Egypt,,,,,,,France,
80,01/07/2026,round_of_32,,England,Uzbekistan,,,,,,,England,
81,01/07/2026,round_of_32,,Iran,Algeria,,,,,,,Algeria,
82,01/07/2026,round_of_32,,Paraguay,Tunisia,,,,,,,Paraguay,
83,02/07/2026,round_of_32,,Spain,Austria,,,,,,,Spain,
84,02/07/2026,round_of_32,,Colombia,Croatia,,,,,,,Croatia,
85,03/07/2026,round_of_32,,Switzerland,Senegal,,,,,,,Switzerland,
86,03/07/2026,round_of_32,,Australia,Belgium,,,,,,,Belgium,
87,03/07/2026,round_of_32,,Argentina,Uruguay,,,,,,,Argentina,
88,03/07/2026,round_of_32,,Portugal,Panama,,,,,,,Portugal,
89,04/07/2026,round_of_16,,Canada,Ecuador,,,,,,,Ecuador,
90,04/07/2026,round_of_16,,Netherlands,Norway,,,,,,,Norway,
91,05/07/2026,round_of_16,,Japan,France,,,,,,,France,
92,05/07/2026,round_of_16,,Mexico,England,,,,,,,England,
93,06/07/2026,round_of_16,,Spain,Croatia,,,,,,,Spain,
94,06/07/2026,round_of_16,,Algeria,Paraguay,,,,,,,Paraguay,
95,07/07/2026,round_of_16,,Belgium,Portugal,,,,,,,Portugal,
96,07/07/2026,round_of_16,,Switzerland,Argentina,,,,,,,Argentina,
97,09/07/2026,quarter_final,,Ecuador,Norway,,,,,,,Norway,
98,10/07/2026,quarter_final,,Spain,Paraguay,,,,,,,Spain,
99,10/07/2026,quarter_final,,France,England,,,,,,,France,
100,11/07/2026,quarter_final,,Portugal,Argentina,,,,,,,Argentina,
101,14/07/2026,semi_final,,Norway,Spain,,,,,,,Spain,
102,15/07/2026,semi_final,,France,Argentina,,,,,,,Argentina,
103,18/07/2026,third_place,,Norway,France,,,,,,,France,
104,19/07/2026,final,,Spain,Argentina,,,,,,,Argentina,
